Symbol,Date,High,Low,Open,Close
LINK,2019-11-07,2.75,2.63,2.74,2.69
LINK,2019-11-08,2.73,2.64,2.69,2.72
LINK,2019-11-09,2.86,2.71,2.72,2.80
LINK,2019-11-10,2.85,2.73,2.80,2.78
LINK,2019-11-11,2.78,2.69,2.78,2.75
LINK,2019-11-12,2.87,2.74,2.75,2.82
LINK,2019-11-13,3.08,2.79,2.81,3.02
LINK,2019-11-14,3.18,2.96,3.02,3.06
LINK,2019-11-15,3.08,2.86,3.06,3.04
LINK,2019-11-16,3.05,2.94,3.03,3.01
LINK,2019-11-17,3.01,2.90,3.01,2.93
LINK,2019-11-18,2.98,2.77,2.93,2.83
LINK,2019-11-19,2.86,2.61,2.82,2.76
LINK,2019-11-20,2.83,2.66,2.75,2.71
LINK,2019-11-21,2.71,2.48,2.71,2.55
LINK,2019-11-22,2.59,2.17,2.55,2.35
LINK,2019-11-23,2.46,2.27,2.35,2.45
LINK,2019-11-24,2.47,2.25,2.45,2.26
LINK,2019-11-25,2.38,2.06,2.26,2.28
LINK,2019-11-26,2.36,2.18,2.27,2.28
LINK,2019-11-27,2.29,2.14,2.26,2.23
LINK,2019-11-28,2.33,2.19,2.23,2.27
LINK,2019-11-29,2.36,2.27,2.28,2.34
LINK,2019-11-30,2.36,2.22,2.34,2.24
LINK,2019-12-01,2.24,2.14,2.24,2.17
LINK,2019-12-02,2.18,2.07,2.17,2.09
LINK,2019-12-03,2.20,2.05,2.09,2.13
LINK,2019-12-04,2.14,2.02,2.13,2.05
LINK,2019-12-05,2.11,1.97,2.05,2.03
LINK,2019-12-06,2.10,1.99,2.03,2.09
LINK,2019-12-07,2.11,2.05,2.09,2.06
LINK,2019-12-08,2.09,2.03,2.06,2.06
LINK,2019-12-09,2.09,2.02,2.06,2.09
LINK,2019-12-10,2.28,2.07,2.09,2.27
LINK,2019-12-11,2.30,2.15,2.27,2.18
LINK,2019-12-12,2.20,2.05,2.18,2.12
LINK,2019-12-13,2.13,2.07,2.12,2.08
LINK,2019-12-14,2.09,1.99,2.08,2.01
LINK,2019-12-15,2.12,1.98,2.01,2.09
LINK,2019-12-16,2.09,1.98,2.09,1.98
LINK,2019-12-17,2.01,1.72,1.98,1.76
LINK,2019-12-18,1.88,1.66,1.76,1.88
LINK,2019-12-19,1.89,1.75,1.88,1.82
LINK,2019-12-20,1.92,1.80,1.82,1.92
LINK,2019-12-21,1.93,1.87,1.92,1.87
LINK,2019-12-22,1.95,1.87,1.87,1.94
LINK,2019-12-23,1.96,1.86,1.94,1.88
LINK,2019-12-24,1.89,1.84,1.88,1.86
LINK,2019-12-25,1.86,1.79,1.86,1.80
LINK,2019-12-26,1.94,1.79,1.81,1.86
LINK,2019-12-27,1.95,1.85,1.86,1.89
LINK,2019-12-28,1.91,1.87,1.89,1.87
LINK,2019-12-29,1.92,1.86,1.87,1.90
LINK,2019-12-30,1.91,1.83,1.90,1.84
LINK,2019-12-31,1.84,1.76,1.84,1.77
LINK,2020-01-01,1.85,1.76,1.77,1.81
LINK,2020-01-02,1.82,1.72,1.81,1.74
LINK,2020-01-03,1.83,1.71,1.74,1.81
LINK,2020-01-04,1.85,1.79,1.81,1.84
LINK,2020-01-05,1.86,1.80,1.84,1.81
LINK,2020-01-06,1.94,1.81,1.81,1.94
LINK,2020-01-07,2.13,1.91,1.93,2.11
LINK,2020-01-08,2.33,2.11,2.11,2.18
LINK,2020-01-09,2.23,2.11,2.18,2.19
LINK,2020-01-10,2.26,2.16,2.19,2.22
LINK,2020-01-11,2.33,2.22,2.22,2.28
LINK,2020-01-12,2.31,2.23,2.28,2.25
LINK,2020-01-13,2.24,2.16,2.24,2.19
LINK,2020-01-14,2.45,2.18,2.19,2.39
LINK,2020-01-15,2.57,2.36,2.38,2.40
LINK,2020-01-16,2.50,2.30,2.41,2.48
LINK,2020-01-17,2.84,2.47,2.48,2.72
LINK,2020-01-18,2.79,2.60,2.72,2.77
LINK,2020-01-19,2.84,2.56,2.78,2.62
LINK,2020-01-20,2.74,2.55,2.62,2.70
LINK,2020-01-21,2.74,2.58,2.70,2.67
LINK,2020-01-22,2.69,2.63,2.68,2.65
LINK,2020-01-23,2.65,2.44,2.65,2.46
LINK,2020-01-24,2.53,2.37,2.47,2.50
LINK,2020-01-25,2.51,2.43,2.50,2.46
LINK,2020-01-26,2.57,2.44,2.46,2.57
LINK,2020-01-27,2.68,2.57,2.57,2.61
LINK,2020-01-28,2.67,2.60,2.61,2.66
LINK,2020-01-29,2.81,2.65,2.66,2.79
LINK,2020-01-30,2.94,2.72,2.78,2.91
LINK,2020-01-31,2.92,2.78,2.92,2.82
LINK,2020-02-01,2.87,2.76,2.82,2.84
LINK,2020-02-02,2.89,2.74,2.84,2.83
LINK,2020-02-03,2.86,2.76,2.83,2.77
LINK,2020-02-04,2.80,2.69,2.77,2.74
LINK,2020-02-05,2.87,2.73,2.74,2.85
LINK,2020-02-06,2.93,2.81,2.85,2.88
LINK,2020-02-07,3.35,2.88,2.88,3.31
LINK,2020-02-08,3.45,3.15,3.30,3.41
LINK,2020-02-09,3.48,3.27,3.41,3.48
LINK,2020-02-10,3.48,3.29,3.48,3.41
LINK,2020-02-11,3.98,3.36,3.41,3.98
LINK,2020-02-12,4.19,3.87,3.98,4.03
LINK,2020-02-13,4.09,3.77,4.02,3.87
LINK,2020-02-14,4.47,3.81,3.88,4.41
LINK,2020-02-15,4.61,4.11,4.41,4.30
LINK,2020-02-16,4.83,4.15,4.31,4.50
LINK,2020-02-17,4.55,3.88,4.49,4.30
LINK,2020-02-18,4.59,4.16,4.30,4.54
LINK,2020-02-19,4.82,4.36,4.55,4.40
LINK,2020-02-20,4.47,4.13,4.40,4.27
LINK,2020-02-21,4.48,4.21,4.27,4.29
LINK,2020-02-22,4.34,4.07,4.29,4.10
